text,condition
我的雪貂抓他的耳朵，直到流血。,Ear Infections
猫张大嘴打呵欠时似乎很痛苦。,Ear Infections
我的狗突然出现严重的腹胀。,Digestive Issues
豚鼠正在抓自己。,Parasites
兔子在一次事故后摔断了腿。,Mobility Problems
猫的耳朵尖上有鳞状斑块。,Skin Irritations
我的狗髋关节发育不良。,Mobility Problems
小狗的皮肤褶皱发红和发炎。,Skin Irritations
狗的耳朵血肿被排干，但很快又被填满了。,Ear Infections
我的猫先是呕吐，然后腹泻，现在只是躲起来。,Digestive Issues
猫喝水后立即呕吐。,Digestive Issues
狗的脸和腿上长出了秃斑。,Parasites
我的狗耳朵边有硬皮，正在掉毛，很痒。,Parasites
狗的腋窝又黑又厚又痒。,Skin Irritations
在我狗的新凳子上发现了一条又长又平的白色蠕虫。,Parasites
我的猫指甲床发炎了。,Skin Irritations
我的小狗似乎因为开车而胃部不适。,Digestive Issues
我的狗口鼻周围的皮肤褶皱变厚了，闻起来很臭。,Skin Irritations
我的兔子的湿漉漉的，下面的皮肤是红色的。,Skin Irritations
小狗换食物太快后会腹泻。,Digestive Issues
我的狗因跳蚤叮咬而继发皮肤感染。,Parasites
我的凤头鹦鹉无精打采，粪便异常。,Parasites
我的猫的听力似乎减弱了。,Ear Infections
雪貂的牙龈苍白，可能是跳蚤引起的贫血。,Parasites
猫在过去的几个小时里呕吐了5次。,Digestive Issues
耳道似乎变窄并肿胀闭合。,Ear Infections
我的猫吐出了一种看起来像蛔虫的东西。,Digestive Issues
猫的腿有神经损伤。,Mobility Problems
雪貂耳朵里有黑色的蜡状碎片。,Ear Infections
雪貂正歪着头。,Ear Infections
我的狗的皮肤通常有一种令人不快的强烈气味。,Skin Irritations
我的狗洗澡后耳朵里有水。,Ear Infections
小猫对最初的驱虫剂没有反应，怀疑是抗性菌株或不同的寄生虫。,Parasites
尽管做了跳蚤治疗，我的狗还是一直发痒。,Skin Irritations
兔子正在用力抓耳朵底部。,Ear Infections
猫因为抓东西，耳朵周围的毛都掉了。,Ear Infections
豚鼠的脚底有疮（大脚）。,Skin Irritations
我的豚鼠眼睛周围长出了鳞状斑块。,Skin Irritations
我的狗吃了油腻的剩菜，现在肚子疼，还呕吐。,Digestive Issues
狗的耳朵看起来很油腻，下面的皮毛又脏又粘。,Ear Infections
仓鼠的下侧有脱发和发红。,Skin Irritations
雪貂的耳朵摸起来很疼。,Ear Infections
我的狗耳朵感染需要长期治疗。,Ear Infections
