text,condition
狗狗的腹泻便中带血和黏液。,Digestive Issues
我家猫的耳螨似乎对常规治疗有抗药性。,Digestive Issues
我家狗狗的脚垫开裂并出血了。,Skin Irritations
兔子患有脊柱退行性病变。,Mobility Problems
猫咪在家里玩逗猫棒，跳跃力很强。,Normal
猫咪过度舔舐腹部，导致该处几乎秃了。,Parasites
我的仓鼠一直在抓挠耳朵后方。,Skin Irritations
狗狗的耳道内壁看起来厚实且凹凸不平，像鹅卵石一样。,Ear Infections
幼犬体型偏小且长期便软。,Digestive Issues
我家猫的嘴唇肿了。,Skin Irritations
检查了一下耳道，里面很干净，没有任何脏物。,Normal
兔子的毛发打结，下面的皮肤看起来发红且有脱屑。,Parasites
定期修剪趾甲能防止宠物抓伤，操作很成功。,Normal
狗患有慢性鞭虫感染,Parasites
幼犬的腹部和腹股沟处长了小脓包。,Skin Irritations
猫咪频繁摇头，耳朵里有深色、易碎的物质。,Parasites
帮狗狗修剪了脚底毛，脚垫看起来很干净，没有异味。,Normal
狗狗耳朵上出现皮疹，伴有小而结痂的丘疹。,Skin Irritations
我的狗突然无法行走（瘫痪）。,Mobility Problems
狗狗会出现剧烈瘙痒发作，尤其在夜间。,Skin Irritations
猫咪有软组织损伤（扭伤/拉伤）。,Mobility Problems
我的兔子排出的粪便呈软糊状且不成形，而非正常的颗粒状。,Digestive Issues
雪貂最近体重明显下降。,Digestive Issues
我的狗椎间盘突出，需要笼内静养。,Mobility Problems
我家狗狗脚趾间的皮肤发红且有炎症。,Skin Irritations
猫咪已经超过24小时没碰食物了,Digestive Issues
今天给狗狗刷了牙，牙龈颜色红润，没有口臭。,Normal
我家狗狗肛门周围的毛发上粘着一些像米粒一样的小白点,Parasites
我的猫呕吐出带粉红色的液体。,Digestive Issues
我家狗狗的皮肤在没有明显外伤的部位看起来像淤青一样。,Skin Irritations
我的猫患有慢性腹泻，服用抗生素后症状暂时缓解。,Digestive Issues
我家狗狗的鼻头干裂，.,Skin Irritations
今天喂食量刚好，小猫没有剩饭。,Normal
我的雪貂身体发痒，尤其是颈部和肩部周围。,Parasites
我给猫滴完耳药水后，它立刻剧烈摇头。,Ear Infections
我的狗在过敏季节时耳朵问题总是更严重。,Ear Infections
兔子皮肤上形成了厚厚的痂,Skin Irritations
自带回家以来，幼犬一直断断续续腹泻。,Digestive Issues
