text,condition
My ferret scratches at his ears until they bleed.,Ear Infections
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections
"My dog has developed sudden, severe abdominal distension.",Digestive Issues
Guinea pig is scratching itself raw.,Parasites
Rabbit has a broken leg after an accident.,Mobility Problems
Cat has scaly patches on her ear tips.,Skin Irritations
My dog has hip dysplasia.,Mobility Problems
Puppy has redness and irritation in his skin folds.,Skin Irritations
Dog's ear hematoma was drained but filled right back up.,Ear Infections
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues
Cat vomits immediately after drinking water.,Digestive Issues
Dog has developed bald patches on his face and legs.,Parasites
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations
"Found a long, flat, white worm in my dog's fresh stool.",Parasites
My cat has inflamed nail beds.,Skin Irritations
My puppy seems to get an upset stomach from car rides.,Digestive Issues
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations
Puppy has diarrhea after switching foods too quickly.,Digestive Issues
My dog has a skin infection secondary to flea bites.,Parasites
My cockatiel is listless and has abnormal droppings.,Parasites
My cat's hearing seems diminished.,Ear Infections
"Ferret has pale gums, possibly flea-induced anemia.",Parasites
Cat vomited 5 times in the past few hours.,Digestive Issues
The ear canal seems narrowed and swollen shut.,Ear Infections
My cat vomited what looked like a roundworm.,Digestive Issues
Cat has nerve damage affecting her leg.,Mobility Problems
"Ferret has dark, waxy debris in ears.",Ear Infections
Ferret is tilting its head.,Ear Infections
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations
My dog has water trapped in his ear after a bath.,Ear Infections
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites
My dog has persistent itching despite flea treatment.,Skin Irritations
Rabbit is scratching vigorously at the base of its ears.,Ear Infections
Cat has lost hair around the outside of her ears from scratching.,Ear Infections
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations
My guinea pig has developed scaly patches around its eyes.,Skin Irritations
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections
Hamster has hair loss and redness on its underside.,Skin Irritations
Ferret's ears seem painful to touch.,Ear Infections
My dog's ear infection requires long-term management.,Ear Infections
Cat has stopped perching in high places.,Mobility Problems
Rabbit has hair loss and scaling around the eyes.,Skin Irritations
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues
My guinea pig has bald spots appearing behind its ears.,Skin Irritations
Cat cries out in pain when yawning or eating.,Ear Infections
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues
Cat struggles to climb onto the sofa.,Mobility Problems
My hamster has diarrhea and isn't acting like himself.,Digestive Issues
Cat has crusty sores on the edges of her ear flaps.,Ear Infections
My dog yelps when jumping off the couch.,Mobility Problems
Cat keeps rubbing her head/ears against the furniture.,Ear Infections
Cat is losing weight but eating more than usual.,Digestive Issues
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites
My cat's ear mites seem resistant to the usual treatments.,Parasites
"Dog has flea allergy, gets severe reaction from one bite.",Parasites
My cat is drooling excessively and pawing at her mouth.,Digestive Issues
My older dog seems painful and slow when getting up after naps.,Mobility Problems
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites
"My cat brought in a mouse, now I'm worried about worms.",Parasites
My dog has muscle atrophy.,Mobility Problems
Guinea pig's back legs seem paralyzed.,Mobility Problems
"Cat has greasy, matted fur along its back.",Skin Irritations
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections
My parrot is picking at himself constantly and seems agitated.,Parasites
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections
Dog has had pudding-like stool for three days straight.,Digestive Issues
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections
Rabbit has stopped hopping normally.,Mobility Problems
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues
Guinea pig's feet are red and swollen.,Skin Irritations
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections
My kitten has developed scabs behind her ears.,Skin Irritations
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems
My puppy came from a litter where several pups had ear mites.,Ear Infections
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems
Dog’s ears are tender and smell like yeast.,Ear Infections
My dog has a rash on his belly that looks like insect bites.,Skin Irritations
My rabbit is pressing its abdomen on the floor.,Digestive Issues
My dog slipped on the floor and has been limping since.,Mobility Problems
Rabbit seems generally weak and floppy.,Mobility Problems
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues
Dog has diarrhea that looks like raspberry jam.,Digestive Issues
My rabbit's left ear is hanging down lower than the right.,Ear Infections
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites
"Dog has small, raised, hairless bumps appearing on his body.",Skin Irritations
My dog's ear infection came back shortly after finishing medication.,Ear Infections
"My dog has scabies, and the whole family is itchy now.",Parasites
Cat has hair loss above the eyes.,Skin Irritations
Cat is grooming one specific spot on her leg until it's bald.,Mobility Problems
My dog doesn't lift his legs as high when walking anymore.,Mobility Problems
"My rabbit has flaky skin and seems very itchy, especially on its back.",Parasites
Guinea pig's abdomen feels tight and bloated.,Digestive Issues
Dog has redness and bumps in the groin area.,Skin Irritations
"Dog is biting at his hind end, near the tail.",Skin Irritations
"Rabbit is over-grooming its belly, leaving the skin bare.",Skin Irritations
My rabbit has an abscess near the ear.,Ear Infections
My guinea pig is losing hair and has crusty sores.,Parasites
Kitten has lost fur on its paws.,Skin Irritations
My ferret's skin seems yellowish.,Skin Irritations
My cat gags frequently without bringing anything up.,Digestive Issues
My dog consistently puts less weight on his left hind leg.,Mobility Problems
"Ferret walks very stiffly, especially in the hind end.",Mobility Problems
Ferret is having trouble climbing.,Mobility Problems
Guinea pig has tiny white lice visible in its fur.,Parasites
My rabbit has developed sores on its heels.,Mobility Problems
"My cat has dark wax, but the vet said it wasn't mites.",Ear Infections
"Cat is scratching her face, causing small cuts near her eyes.",Skin Irritations
My dog vomited bile this morning and isn't interested in breakfast.,Digestive Issues
Dog has diarrhea that smells particularly foul.,Digestive Issues
My kitten has ringworm-like circles appearing on her face.,Skin Irritations
My dog shakes his head after waking up.,Ear Infections
Dog’s gait is wobbly and he falls often.,Mobility Problems
"Cat cries and flinches if I try to look in her ears, they look black inside.",Parasites
Dog is constantly shaking his head and scratching his ears raw.,Skin Irritations
"My dog has bare patches of skin and intense itching, worse at night.",Parasites
My dog's ear infection seems worse in humid weather.,Ear Infections
"Rabbit has neurological issues (head tilt, weakness) from E. cuniculi.",Mobility Problems
"My cat is regurgitating food (undigested, tube-shaped) right after eating.",Digestive Issues
My canary has crusty scales on its legs and feet.,Parasites
Ferret hasn't eaten today and vomited greenish fluid.,Digestive Issues
My dog has developed a large fluid-filled swelling (cyst?) under the skin.,Skin Irritations
My cat has Horner's syndrome related to an ear infection.,Ear Infections
"Dog has large volume, greasy, foul-smelling stools.",Digestive Issues
My rabbit's appetite has been poor for several days.,Digestive Issues
Dog's ears are greasy and the hair around them is matted.,Ear Infections
Dog has diarrhea with visible pieces of undigested kibble.,Digestive Issues
My dog has food allergies that trigger ear infections.,Ear Infections
My dog has a torn ACL (CCL) and needs surgery.,Mobility Problems
My dog tested positive for Anaplasmosis after a tick bite.,Parasites
"There's a moist, red, sore area on my dog's flank that appeared suddenly.",Skin Irritations
Ferret yelps when his ears are examined.,Ear Infections
"Puppy has intermittent diarrhea, sometimes normal, sometimes loose.",Digestive Issues
Guinea pig seems unable to move properly after being dropped.,Mobility Problems
"Rabbit isn't eating pellets, only picking at greens.",Digestive Issues
My dog has a rash after swimming in the lake.,Skin Irritations
Cat has created raw spots and scabs around her ears from scratching.,Ear Infections
My cat seems to have inflammation deep within the ear.,Ear Infections
"Cat is constantly scratching around the neck, causing hair loss.",Skin Irritations
My rabbit has crusty buildup inside its ears.,Ear Infections
Puppy's ears seem hot to the touch.,Ear Infections
"Guinea pig has mange mites, causing severe itching and seizures.",Parasites
"Dog has intense itching episodes, especially at night.",Skin Irritations
"Dog keeps shaking his head, and the inside of his ear flaps are red.",Skin Irritations
My rabbit is biting at its flank.,Skin Irritations
My rabbit has sores developing on the soles of its feet.,Parasites
Rabbit has lost balance.,Ear Infections
My dog's elbow/hock seems to stick out at an odd angle.,Mobility Problems
Cat has developed facial nerve paralysis (droopy face) on one side.,Ear Infections
Cat vomits bile mostly in the early morning before breakfast.,Digestive Issues
"Dog has sudden onset of watery, projectile diarrhea.",Digestive Issues
My cat has redness and swelling of the chin.,Skin Irritations
My guinea pig's droppings are very small and dry.,Digestive Issues
"Cat has a greasy feel to her coat, especially near the tail base.",Skin Irritations
Rabbit has discharge coming from the ear.,Ear Infections
"Dog’s ears have a rash with small, crusty bumps.",Skin Irritations
My cat has bad breath and occasionally vomits foam.,Digestive Issues
Cat’s ears have a brown discharge and bad smell.,Ear Infections
My ferret arches his back when I pick him up.,Mobility Problems
My puppy has 'growing pains' (panosteitis).,Mobility Problems
My ferret seems painful in his back.,Mobility Problems
Ferret seems painful around the head.,Ear Infections
My bird has crusty growths on its beak and feet.,Parasites
Cat has developed hives/welts after being outside.,Skin Irritations
My cat has crusty lesions around her eyes and nose.,Skin Irritations
My dog is reluctant to go for walks.,Mobility Problems
My dog sits with his leg sticking straight out to the side.,Mobility Problems
My dog is knuckling over on his paws.,Mobility Problems
My dog has osteosarcoma requiring amputation.,Mobility Problems
Dog has developed calluses on his elbows that are now cracking.,Skin Irritations
Cat vomited a large hairball this morning.,Digestive Issues
My rabbit has fur mites (Cheyletiella).,Parasites
My ferret's skin looks yellowish and he's losing fur.,Skin Irritations
"My puppy has dark specks in his ears, vet suspected mites.",Ear Infections
"Hamster is scratching incessantly, causing small wounds.",Skin Irritations
Dog has a ruptured eardrum from a chronic infection.,Ear Infections
My cat tries to vomit frequently but only retches.,Digestive Issues
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems
My cat is holding her head tilted to one side.,Ear Infections
Cat looks carefully before jumping down from even low heights.,Mobility Problems
My hamster’s stools are watery and frequent.,Digestive Issues
My puppy eats constantly but is skinny and has soft poop.,Digestive Issues
Rabbit has ear mites causing thick crusts.,Ear Infections
My dog's thigh muscles look smaller than they used to.,Mobility Problems
"Dog has diarrhea that smells metallic, like blood.",Digestive Issues
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems
Dog is licking obsessively at a spot between his shoulder blades.,Skin Irritations
My dog whimpers when he tries to jump onto the bed.,Mobility Problems
Dog's ear canal bleeds easily when cleaned.,Ear Infections
Rabbit has flaky skin on the outside of its ear flaps.,Skin Irritations
Found a tick embedded in my cat's skin after she was outside.,Parasites
Cat has hair loss around the eyes and ears.,Parasites
"My dog has developed red, itchy patches on his belly and inner thighs.",Skin Irritations
My rabbit is scratching its dewlap constantly.,Skin Irritations
"Rabbit is moving very little, seems painful.",Ear Infections
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations
My dog developed a head tilt and seems dizzy.,Mobility Problems
My cat vomited a plant leaf.,Digestive Issues
Cat got diarrhea after drinking milk.,Digestive Issues
My ferret shakes his head after I clean his ears.,Ear Infections
My rabbit has maggots near its tail (flystrike).,Parasites
Hamster has wetness and irritation around its tail (wet tail).,Skin Irritations
My dog's poop is covered in slimy mucus.,Digestive Issues
Puppy has roundworms and hookworms.,Parasites
"Guinea pig has very rough, coarse fur and seems itchy.",Skin Irritations
My rabbit has swelling around the ear base.,Ear Infections
I found a live flea crawling on my arm after holding the cat.,Parasites
Dog is anemic due to a heavy hookworm burden.,Parasites
Rabbit has ear mites causing inflammation and head tilt.,Parasites
"Cat has a swollen area on her face, like an abscess.",Skin Irritations
My cat has fleas and tapeworms.,Parasites
My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.,Ear Infections
"Guinea pig has white, powdery stuff in its fur.",Parasites
Rabbit is reluctant to be picked up.,Mobility Problems
My dog has mucus covering his stool.,Digestive Issues
"Kitten has crusty discharge around its eyes and nose, along with skin sores.",Skin Irritations
"My dog has environmental allergies (pollens, dust mites) causing ear issues.",Ear Infections
"My dog's elbows are calloused, dark, and sometimes cracked.",Skin Irritations
My cat seems to gag or cough after eating.,Digestive Issues
My cat threw up clear liquid this morning and seems quiet.,Digestive Issues
My dog is excessively gassy and burping.,Digestive Issues
My dog has elbow dysplasia causing forelimb lameness.,Mobility Problems
Guinea pig is losing weight rapidly and has diarrhea.,Digestive Issues
"My cat has lungworm, diagnosed after chronic coughing.",Parasites
Rabbit has hair loss and crusting around the base of the affected ear.,Ear Infections
My dog's ear flap swelled up suddenly like a water balloon.,Ear Infections
My rabbit is losing fur in clumps when I pet it.,Skin Irritations
Cat has bad gas and occasional vomiting.,Digestive Issues
Cat seems less interested in playing with toys.,Mobility Problems
"Rabbit has white, crusty deposits in its ears.",Skin Irritations
My dog has developed a lump that seems attached to the skin.,Skin Irritations
"Rabbit seems to have lost its balance, stumbling.",Ear Infections
My dog holds up his back leg occasionally when walking ('skipping').,Mobility Problems
Rabbit has lost fur on its nose from rubbing cage bars.,Skin Irritations
My dog seems to have lost coordination in his hind limbs.,Mobility Problems
"Dog ate chocolate, now vomiting and hyperactive.",Digestive Issues
Ferret is rubbing its body against furniture frequently.,Skin Irritations
My dog might have gotten water in his ear during his bath.,Ear Infections
Found multiple ticks on my dog after a walk in the woods.,Parasites
There's a foul odor coming from my cat's ears.,Ear Infections
Puppy is being treated for Sarcoptic mange (scabies).,Parasites
Rabbit has stopped grooming itself and looks unkempt.,Digestive Issues
"Cat's ears are very itchy and painful, she cries when I touch them.",Parasites
Cat has a soft tissue injury (sprain/strain).,Mobility Problems
The dog keeps licking one spot on his front leg until it's raw.,Skin Irritations
Cat walks very slowly and cautiously.,Mobility Problems
"My cat has Toxoplasma, I'm pregnant and concerned.",Parasites
My puppy has dandruff only a few days after a bath.,Skin Irritations
My cat tested positive for Giardia after having diarrhea.,Parasites
