title,category,content
金毛犬养护指南,breed,金毛性格温顺友好智商高易训练。需要每天至少1小时运动。容易患髋关节发育不良注意控制体重。毛发需要每周梳理2-3次。换毛季节掉毛严重需每天梳理。寿命一般为12-15年。
英国短毛猫养护指南,breed,英短性格安静温和适应力强。容易发胖需控制食量。每周梳理毛发1-2次。平均寿命15-20年。常见疾病：肥厚性心肌病多囊肾病。圆脸大眼短毛是其特征。
柯基犬养护指南,breed,柯基聪明活泼需要每日运动。容易患腰椎疾病避免让它们爬楼梯。掉毛量大需定期梳理。易发胖需严格控制饮食。寿命12-15年。对训练反应良好。
布偶猫养护指南,breed,布偶猫体型大体型性格温顺毛发长而柔软。蓝眼睛是其标志特征。需每日梳理防止毛球。性格粘人适合家庭饲养。寿命12-17年。
暹罗猫养护指南,breed,暹罗猫体型修长性格活泼叫声大。有重点色毛发特征。智商高聪明好奇心强。需要主人陪伴不宜长时间独处。寿命12-20年。
中华田园猫养护指南,breed,中华田园猫体质好适应力强聪明独立。捕鼠能力强。抵抗力好较少生病。容易饲养适合新手。寿命15-20年常见的有狸花猫橘猫黑白猫等。
犬类疫苗接种指南,health,幼犬首次接种在6-8周龄共需3针每隔3-4周一针。成年后每年加强一次。核心疫苗包括犬瘟热细小病毒腺病毒。接种后一周内避免洗澡和剧烈运动。
猫类疫苗接种指南,health,幼猫首次接种在8-9周龄共需2-3针。成年后每年加强。核心疫苗包括猫瘟猫鼻支猫杯状病毒。狂犬疫苗根据当地法规要求接种。
定期驱虫指南,health,幼犬幼猫每月体内驱虫一次至6月龄。成犬成猫每3个月体内驱虫一次。体外驱虫每月一次全年进行。常见驱虫药包括阿苯达唑吡喹酮等。
犬类喂养指南,feeding,幼犬每天喂食3-4次成犬每天2次。选择优质狗粮根据体重控制食量。避免喂食巧克力葡萄洋葱大蒜等有毒食物。保证充足的饮用水。不要喂骨头特别是鸡骨。
猫类喂养指南,feeding,猫是肉食动物需要高蛋白饮食。每日喂食2-3次。避免喂食牛奶乳糖不耐受洋葱大蒜巧克力。保持清洁的饮用水。可以适当喂食猫草帮助排毛球。
基本服从训练指南,training,从基础指令开始：坐下趴下等待。每次训练10-15分钟正面强化。使用零食奖励保持耐心一致性。避免体罚。训练环境要安静无干扰。每天坚持原则一致。
如厕训练指南,training,幼犬：2-3个月开始训练固定地点排便。观察排便信号及时带到指定地点。成功后给予奖励。幼猫：准备好猫砂盆放在安静角落。猫砂盆需每天清理。
常见中毒急救,health,巧克力中毒：含有可可碱对狗有毒症状包括呕吐腹泻兴奋。洋葱大蒜中毒：破坏红细胞导致贫血。葡萄中毒：导致肾衰竭。误食后立即就医不要自行催吐。
老年犬护理指南,health,老年犬一般7岁以上。每年体检一次注意心脏肾脏关节健康。饮食改为易消化的老年犬粮。适当运动但要避免剧烈活动。注意牙齿健康定期洁牙。增加软垫减少关节压力。
